Date,Name,Type_content,type event,colab/featuring with,Location,instagram post,registration,RVSP,Protocol to mint,NFT URL,CHAIN NFT,Mints NFT,POAP LINK,Collectors POAP,Chain POAP,Recap Social Media,Registro Fotografico,Carpeta del Evento,Youtube Recording
14/11/2022,Devcon VI,Event,Voluntering,"Devcon: https://archive.devcon.org/watch/?event=devcon-6&sort=eventId&order=asc","Agora: https://maps.app.goo.gl/psm34tA11wb5kh2V8",,,,,,,,,,,,,,,
26/12/2022,Ethereum cali Opening,Meetup,own,,"Discoteca 1060: https://maps.app.goo.gl/ojibHKVdbmaRtACy6",https://www.instagram.com/p/CmxVlz6J9Go/,NA,4,POAP,NA,NA,NA,https://poap.gallery/drops/93758,0,NA,https://www.instagram.com/p/CmxVlz6J9Go/,2022 12 26 Registro Fotografico,2022-12-26 ACTIVACION FERIA 50 2022,
24/02/2023,Ethereans del Pacifico 1,Meetup,own,,"Boulevard del Rio: https://g.co/kgs/12YiNw5",https://www.instagram.com/p/CpDRcE6uuGz/,https://www.meetup.com/ethereumcali/events/291777540/?utm_medium=referral&utm_campaign=share-btn_savedevents_share_modal&utm_source=link&utm_version=v2,3,,,,,,,,https://www.instagram.com/p/CpFyW8iOJzm/?img_index=1,2023 02 24 Registro Fotografico,2023 02 24 Etherean del pacifico 1,
01/03/2023,Revolucion de la contabilidad con AI,Conference,Colab,Hispanic tax inc,"Universida Santiago: https://maps.app.goo.gl/B9XfBb4fCDLPVjhY7",https://www.instagram.com/p/CpPzoeWub9s/,https://www.meetup.com/ethereumcali/events/291777701/?utm_medium=referral&utm_campaign=share-btn_savedevents_share_modal&utm_source=link&utm_version=v2,20,,,,,,,,https://www.instagram.com/p/CpQshRxpO7E/?img_index=1,2023 03 01 AM Registro Fotografico,2023 03 1 2 CONFERENCIA USC,
01/03/2023,reinvencion del contador en el siglo xxi,Conference,Colab,Hispanic tax inc,"Universidad del Valle: https://maps.app.goo.gl/Mta4fT2oWqxUynwq6",https://www.instagram.com/p/CpPzoeWub9s/,https://www.meetup.com/ethereumcali/events/291954715/?utm_medium=referral&utm_campaign=share-btn_savedevents_share_modal&utm_source=link&utm_version=v2,20,,,,,,,,https://www.instagram.com/p/CpRdGL8tELV/?img_index=1,23 03 01 PM Registro Fotografico,2023 03 1 PM CONFERENCIAS UNIVALLE,
11/03/2023,Ethereum at the River,Meetup,own,,"Boulevard del Rio: https://g.co/kgs/12YiNw5",https://www.instagram.com/p/CpqXsCsvkI4/,https://www.meetup.com/ethereumcali/events/292144032/?utm_medium=referral&utm_campaign=share-btn_savedevents_share_modal&utm_source=link&utm_version=v2,7,,,,,,,,https://www.instagram.com/p/CpsbmR2OxBA/,2023 03 11 Registro Fotografico,2023 03 11 ETHEREUM IN THE RIVER,
29/04/2023,Ethereans del pacifico 2,Meetup,own,,"Boulevard del Rio: https://g.co/kgs/12YiNw5",https://www.instagram.com/p/CrjHfJepYlD/,https://www.meetup.com/ethereumcali/events/293164121/?utm_medium=referral&utm_campaign=share-btn_savedevents_share_modal&utm_source=link&utm_version=v2,10,,,,,,,,https://www.instagram.com/p/Crq4mEzJYx7/?img_index=1,2023 04 29 Registro Fotografico,2023 04 29 ETHEREANS DEL PACIFICO 2,
22/05/2023,Global Pizza Party #1,Meetup,Colab,"instagram.com/enefty.co/ : https://www.instagram.com/enefty.co/","Pizzicleta.com : https://maps.app.goo.gl/FzvEwz9wSMGn2Yqn6",https://www.instagram.com/p/Cs2O02urc0x/?next=%2Freel%2FDJuBYZFuOPX%2F,NA,20,,,,,,,,https://www.instagram.com/p/Cs2O02urc0x/,2023 05 22 Registro Fotografico,2023 05 22 Global pizza party 2023,
01/06/2023,Workshop: Digital Art Colombia en Cali, Medellin y Bogota.,Workshop,Colab,"bellasartes.edu.co : https://bellasartes.edu.co/","bellasartes.edu.co : https://maps.app.goo.gl/z8w3fojn2rn3mHnR9",https://www.instagram.com/p/Cs46atlNXMu/?next=%2Freel%2FDJuBYZFuOPX%2F,https://www.meetup.com/es-ES/ethereumcali/events/293777059/?eventOrigin=group_events_list,10,,,,,,,,https://www.instagram.com/p/CtUdP_Hp7Dt/?next=%2Freel%2FDJuBYZFuOPX%2F&img_index=1,2023 05 19 Registro Fotografico,2023 05 14 WORKSHOP DIGITAL ART COLOMBIA,https://www.youtube.com/live/6GyG8ifcTkw?si=MJy9MMv9KeTOtxvg
27/07/2023,Hashfest 2023,Event,Voluntering,"hashclub: instagram.com/hashhouse.club/","hashfest: https://maps.app.goo.gl/RKPRbjs8vf3QHWoP7",https://www.instagram.com/hashfest/,NA,50,,,,,,,,https://www.instagram.com/hashfest/,2023 06 27 Registro Fotografico,2023 06 27 HashFest 2023,
