Date,Name,Type_content,type event,host/colab/featuring,Location,Social Media post Official,registration_page,RVSP,Protocol to mint,NFT URL,CHAIN NFT,Mints NFT,POAP LINK,Collectors POAP,Chain POAP,Recap Social Media,Registro Fotografico,Carpeta del Evento,Youtube Recording
19/08/2023,"Workshop: Set-up en EVM: Una Wallet, un Token y un NFT",Workshop,Colab,Python Cali: python.org.co/usuarios/python-cali/ ,Universidad Libre: https://maps.app.goo.gl/7hfQyZcaDXTnKk7w5 ,https://www.instagram.com/p/CwFzAKruQIb/,https://www.meetup.com/es-ES/ethereumcali/events/295522958/?eventOrigin=group_events_list,10,POAP,NA,NA,NA,https://poap.gallery/drops/147944 ,20,Gnosis,https://www.instagram.com/p/Cwz6uP9u8kS/?img_index=1,https://drive.google.com/drive/folders/1mNqcbF0m0JRf0v1DD9REzj-k3u4J3FjQ?usp=drive_link,"2023 08 19 Setup EVM: Una Wallet, un Token y un NFT",
24/08/2023,Ethereum Starter Pack - Billeteras Blockchain Self-Custodial,Workshop,Colab,Universidad ICESI: https://www.icesi.edu.co ,Universidad ICESI: https://maps.app.goo.gl/fSBzBAzGZXsGWB1S8,https://www.instagram.com/p/CwRXIWKNtgu/,https://www.meetup.com/ethereumcali/events/295624050/?utm_medium=referral&utm_campaign=share-btn_savedevents_share_modal&utm_source=link&utm_version=v2,10,NA,NA,NA,NA,NA,NA,NA,https://www.instagram.com/p/CxE1GWYtX8p/?img_index=1,NA,2023-8-24 21sep - Ethereum Starter Pack ICESI,
31/08/2023,Ethereum Starter Pack - Blockchain y WEB3,Workshop,Colab,Universidad ICESI: https://www.icesi.edu.co ,Universidad ICESI: https://maps.app.goo.gl/fSBzBAzGZXsGWB1S8,https://www.instagram.com/p/CwlyZgkNdEh/,https://www.meetup.com/ethereumcali/events/295750565/?utm_medium=referral&utm_campaign=share-btn_savedevents_share_modal&utm_source=link&utm_version=v2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
07/09/2023,Ethereum Starter Pack  - Ethereum 101 ,Workshop,Colab,Universidad ICESI: https://www.icesi.edu.co ,Universidad ICESI: https://maps.app.goo.gl/fSBzBAzGZXsGWB1S8,https://www.instagram.com/p/Cwyt0XmNTCL/,https://www.meetup.com/ethereumcali/events/295897367/?utm_medium=referral&utm_campaign=share-btn_savedevents_share_modal&utm_source=link&utm_version=v2,4,Unlock Protocol,https://polygonscan.com/address/0xadc3d1f73d2fa9aee898fae36c8d95a9d756b680,Polygon,0,NA,NA,NA,NA,NA,NA,
14/09/2023,Ethereum Starter Pack - Defi ,Workshop,Colab,Universidad ICESI: https://www.icesi.edu.co ,Universidad ICESI: https://maps.app.goo.gl/fSBzBAzGZXsGWB1S8,NA,https://app.unlock-protocol.com/event/ethereum-starter-pack-n-4,3,Unlock Protocol + POAP,https://polygonscan.com/token/0x70bd76e89478400d9ee4c0f1200e53e751610ecf,Polygon,4,https://poap.gallery/drops/150009 ,0,Gnosis,NA,NA,NA,
18/09/2023,Capital Summit 2023,Event,Attendees,Cento de eventos valle del Pacifico: https://valledelpacifico.co/en/valle-del-pacifico-event-center/,Cento de Ventos Valle del Pacifico: https://valledelpacifico.co/en/valle-del-pacifico-event-center/ ,https://www.instagram.com/p/CuZ5rD0OxUQ/,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.instagram.com/p/CxVgKcAuGJy/?img_index=1,https://drive.google.com/drive/folders/1Q0kHT-m4MdOK_aouIHYOAXc6h4bJ1ibj?usp=drive_link,2023 09 18 Capital Summit 2023,
21/09/2023,Ethereum Starter Pack - NFT 101,Workshop,Colab,Universidad ICESI: https://www.icesi.edu.co ,Universidad ICESI: https://maps.app.goo.gl/fSBzBAzGZXsGWB1S8,NA,https://app.unlock-protocol.com/event/ethereum-starter-pack-4-nft-101-icesi,3,Unlock Protocol + POAP,https://polygonscan.com/token/0xD8b6092d2DB8E71eb7753d0F5Ad13B5C0cD59457,Polygon,2,https://poap.gallery/drops/150539 ,6,Gnosis,NA,NA,NA,
12/10/2023,Ethereum Starter Pack - Seguridad en WEB3,Workshop,Colab,Universidad ICESI: https://www.icesi.edu.co ,Universidad ICESI: https://maps.app.goo.gl/fSBzBAzGZXsGWB1S8,NA,https://app.unlock-protocol.com/event/ethereum-starter-pack-7-seguridad-web-3-101-icesi,3,Unlock Protocol,https://optimistic.etherscan.io/token/0xfcf03741a264a00fda35a5814e669968cab95204,Optimism,4,NA,NA,NA,NA,NA,NA,
04/10/2023,Blockchain Summit Latam 2023,Event,Voluntering,Blockchain Summit latam: https://blockchainsummit.la/,Agora: https://maps.app.goo.gl/psm34tA11wb5kh2V8,https://www.instagram.com/p/CxG5TrWpR_1/,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.instagram.com/p/CyRijBGpPP5/?img_index=1,https://drive.google.com/drive/folders/17iX2hJCAIvLL0u3Q1G2QlTjqYZqzXoPW?usp=drive_link,2023 10 4 a 6 Blockchain Summit Latam,
07/10/2023,ETHColombia Day,Meetup,Ethcolombia,Life 72: https://maps.app.goo.gl/xnr5X1thAj8m9XQa8 ,Life 72: https://maps.app.goo.gl/xnr5X1thAj8m9XQa8 ,https://www.instagram.com/p/CyRn6mzpgDm/,https://www.meetup.com/es-ES/ethereum-bogota/events/296389656/?eventOrigin=group_events_list,50,,NA,NA,NA,NA,NA,NA,https://www.instagram.com/p/CyRrv2RJ5Ai/?img_index=1,https://drive.google.com/drive/folders/1GkTPxY39osjIKKENtl6Eq4ev4wugoPFO?usp=drive_link,2023 10 07 ETHColombia day ,
